topic,sentiment,date,month,count
News and Information Sharing,positive,2022-01-18 13:28:20,2022-01-01,1
Content Moderation and Censorship,neutral,2022-01-18 13:28:20,2022-01-01,1
Account Management,negative,2022-01-27 13:08:48,2022-01-01,1
User Interface and Functionality,negative,2022-01-27 13:08:48,2022-01-01,1
Account Management,negative,2022-01-02 07:56:11,2022-01-01,1
Account Management,negative,2022-01-02 07:56:11,2022-01-01,1
User Interface and Functionality,negative,2022-01-10 16:09:43,2022-01-01,1
User Interface and Functionality,neutral,2022-01-10 16:09:43,2022-01-01,1
User Interface and Functionality,negative,2022-01-10 16:09:43,2022-01-01,1
Platform Policies and Guidelines,negative,2022-01-20 18:05:42,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-20 18:05:42,2022-01-01,1
User Interface and Functionality,positive,2022-01-20 18:05:42,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-05 15:50:11,2022-01-01,1
Platform Policies and Guidelines,negative,2022-01-05 15:50:11,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-20 12:52:46,2022-01-01,1
User Interface and Functionality,negative,2022-01-06 14:27:40,2022-01-01,1
Privacy and Security,negative,2022-01-06 14:27:40,2022-01-01,1
Account Management,negative,2022-01-06 14:27:40,2022-01-01,1
App Updates and Changes,positive,2022-01-24 22:46:04,2022-01-01,1
Algorithm and Content Curation,positive,2022-01-24 22:46:04,2022-01-01,1
Social Networking and Engagement,positive,2022-01-24 22:46:04,2022-01-01,1
User Interface and Functionality,negative,2022-01-24 14:46:35,2022-01-01,1
User Interface and Functionality,negative,2022-01-24 14:46:35,2022-01-01,1
Advertising and Monetization,negative,2022-01-24 14:46:35,2022-01-01,1
User Interface and Functionality,positive,2022-01-29 23:15:59,2022-01-01,1
Content Moderation and Censorship,positive,2022-01-29 23:15:59,2022-01-01,1
News and Information Sharing,positive,2022-01-22 20:13:48,2022-01-01,1
Social Networking and Engagement,positive,2022-01-12 20:18:10,2022-01-01,1
Freedom of Speech and Expression,neutral,2022-01-12 20:18:10,2022-01-01,1
Social Networking and Engagement,positive,2022-01-12 20:18:10,2022-01-01,1
User Interface and Functionality,positive,2022-01-11 09:51:23,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-03 23:04:05,2022-01-01,1
Account Management,negative,2022-01-03 23:04:05,2022-01-01,1
User Interface and Functionality,negative,2022-01-22 01:02:21,2022-01-01,1
Account Management,negative,2022-01-20 19:43:41,2022-01-01,1
Customer Service,negative,2022-01-20 19:43:41,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-07 22:29:03,2022-01-01,1
Notifications and Alerts,negative,2022-01-12 12:37:37,2022-01-01,1
User Interface and Functionality,negative,2022-01-12 12:37:37,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-04 20:50:05,2022-01-01,1
Misinformation and Fake Accounts,negative,2022-01-04 20:50:05,2022-01-01,1
Freedom of Speech and Expression,negative,2022-01-30 01:48:14,2022-01-01,1
Mental Health and User Impact,negative,2022-01-30 01:48:14,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-30 01:48:14,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-07 07:13:31,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-07 07:13:31,2022-01-01,1
Community and Content,negative,2022-01-07 07:13:31,2022-01-01,1
User Interface and Functionality,negative,2022-01-23 04:43:08,2022-01-01,1
Privacy and Security,negative,2022-01-23 04:43:08,2022-01-01,1
Account Management,negative,2022-01-19 11:52:21,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-19 00:53:20,2022-01-01,1
Freedom of Speech and Expression,negative,2022-01-19 00:53:20,2022-01-01,1
User Interface and Functionality,positive,2022-01-23 18:34:24,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-25 21:50:26,2022-01-01,1
Account Management,negative,2022-01-14 18:22:19,2022-01-01,1
Privacy and Security,negative,2022-01-09 00:30:23,2022-01-01,1
Notifications and Alerts,negative,2022-01-09 00:30:23,2022-01-01,1
Account Management,negative,2022-01-09 00:30:23,2022-01-01,1
User Interface and Functionality,negative,2022-01-11 17:39:21,2022-01-01,1
App Updates and Changes,negative,2022-01-11 17:39:21,2022-01-01,1
Privacy and Security,negative,2022-01-12 14:19:20,2022-01-01,1
Misinformation and Fake Accounts,negative,2022-01-12 14:19:20,2022-01-01,1
User Interface and Functionality,positive,2022-01-26 22:03:11,2022-01-01,1
Privacy and Security,negative,2022-01-26 22:03:11,2022-01-01,1
Account Management,negative,2022-01-28 01:32:00,2022-01-01,1
User Interface and Functionality,negative,2022-01-28 01:32:00,2022-01-01,1
User Interface and Functionality,negative,2022-01-28 01:32:00,2022-01-01,1
Notifications and Alerts,negative,2022-01-20 20:19:43,2022-01-01,1
Customer Service,negative,2022-01-10 20:03:57,2022-01-01,1
Customer Service,negative,2022-01-10 20:03:57,2022-01-01,1
User Interface and Functionality,positive,2022-01-23 05:11:20,2022-01-01,1
Privacy and Security,negative,2022-01-23 05:11:20,2022-01-01,1
Business and Advertising Tools,positive,2022-01-13 12:15:43,2022-01-01,1
User Interface and Functionality,positive,2022-01-13 12:15:43,2022-01-01,1
